,id,text,label,jav
34,34,"Sawijining jalur kaping kalih, Jalur B, kanthi arah timurlaut dhateng baratdaya, dipunjadwalaken dipunbikak taun 2015. ","Sebuah jalur kedua, Jalur B, dengan arah timurlaut ke baratdaya, dijadwalkan pembukaannya pada 2015. ","Siji detik trek, Lane b, ing roti panggang wengi, yaiku refordd kanggo mbukak 2015."
35,35,Kapasitas seri 705 ya iku 75 penumpang. ,Kapasitas seri 705 adalah 75 penumpang. ,Seri kapasitas 705 yaiku 75 penumpang.
36,36,Status kelangkaan buah iki dianalisis nganggo kategori lan kriteria tumbuhan langka miturut IUCN Red List Categories 30 November 1994.. ,Status kelangkaan buah ini dianalisis dengan menggunakan kategori dan kriteria tumbuhan langka menurut IUCN Red List Categories 30 November 1994. ,Status Woh minangka analisa babagan kategori lan kriteria tanduran sing arang banget kategori Merah kategori IUCN No.5 ..
37,37,Saben makluk bakal mati lan ing akhirat bakal dihisab ngenani amalan-amalané. ,Untuk mengetahui rahasia kehidupan sejati di dunia ini sehingga dapat terbebaskan dari kesengsaraan dunia dan akhirat . ,Saben titah bakal mati lan ing acara kasebut bakal diapusi dening para rasul.
38,38,"Perusahaan Dodge bersaudara tiba ing asta istri-istri punika, ingkang lajeng ngangkat Frederick Haynes dados présidhèn perusahaan mau. ","Perusahaan Dodge bersaudara jatuh ke tangan istri-istri mereka, yang lalu mengangkat Frederick Haynes menjadi presiden perusahaan tersebut. ","Perusahaan cutrus Dodge tiba ing tangane bojo iki, sing mengko milih Frederick Haynes minangka Presiden perusahaan."
39,39,Indonésia (Pasifik Barat). ,Indonesia (Pasifik Barat). ,Indonesia (Pasifik).
40,40,"Tiga taun lajeng, Jockie bergabung malih kaliyan God Bless. ","Tiga tahun kemudian, Jockie bergabung lagi dengan God Bless. ",Telung taun lan Jocie gabung karo Gusti mberkahi.
41,41,"Para penentang iki ngeklaim yèn biaya ékonomi kang diperlokaké kanggo melaksanakan Protokol Kyoto bisa ngancik 300 milyar dollar AS, mligi disebabkan déning biaya ènergi. ","Para penentang ini mengklaim bahwa biaya ekonomi yang diperlukan untuk melaksanakan Protokol Kyoto dapat menjapai 300 miliar dollar AS, terutama disebabkan oleh biaya energi. ","Aturan iki nyatakake biaya ekonomi dibutuhake kanggo protokol Kyoto nganti 300 milyar US dolar, utamane biaya sing digunakake."
42,42,CRJ100 CRJ100 ya iku versi asli 50 kursi. ,CRJ100 CRJ100 adalah versi asli 50 kursi. ,CRJ100 CRJ100 YES minangka versi asli saka 50 kursi.
43,43,Federasi Ilmuwan Amérika. ,Federasi Ilmuwan Amerika. ,Federasi Ilmuwan Amerika.
44,44,"Yèn dideleng saka cara tindakane, eutanasia bisa dibagi dadi telung kategori, ya iku eutanasia agresif, eutanasia non agresif, lan eutanasia pasif. ","Bila ditinjau dari cara pelaksanaannya, eutanasia dapat dibagi menjadi tiga kategori, yaitu eutanasia agresif, eutanasia non agresif, dan eutanasia pasif. ","Yen dideleng saka wektu kasebut, Eututanasia bisa dipérang dadi telung kategori, ya, minangka eutasia sing agresif, etutanasia sing agresif, lan pasif Eutanasia."
45,45,Allah wis ndokok aku ing Indonésia. ,Tuhan yang menaruh saya di Indonesia. ,Gusti Allah wis nggawa aku menyang Indonesia.
46,46,"Pungkasanipun, taun 1964, piyambakipun dipunangkat minangka Anggota Asing Royal Society ing London. ","Akhirnya, pada 1964, ia diangkat sebagai Anggota Asing Royal Society di London. ","Pungkasan, 1964, dheweke ditunjuk dadi wong manca masyarakat ing London."
47,47,Apa Siapa Orang Film Indonésia. ,Apa Siapa Orang Film Indonesia. ,Apa film india.
48,48,"Train à Grande Vitesse (dicekak TGV) iku sepur rikat Prancis (basa Prancis: train à grande vitesse, kang tegesé sepur rikat). ","Train à Grande Vitesse (disingkat TGV) adalah Kereta kecepatan tinggi yang berasal dari Prancis. (bahasa Prancis: train à grande vitesse, berarti ""kereta berkecepatan tinggi""). ","Sepur à Grande Vitame (TGV) minangka sepur Prancis sing mbebayani (Prancis: Sepur à grande vite, sing tegese sepur kreteg)."
49,49,Psikopat duweni 20 ciri umum. ,Psikopat memiliki 20 ciri-ciri umum. ,Psychopat duwe 20 fitur umum.
50,50,Padahal saat itu prajurit Acèh wis dipukul mundur olèh Portugis. ,Padahal saat itu pasukan Aceh sudah dipukul mundur oleh Portugis. ,Sanajan prajurit sing adol wis digedhekake dening Portugis.
51,51,"647,5 Milyar posisi 31 Dhésèmber 2011. ","647,5 Milyar posisi 31 Desember 2011. ",647.5 milyar ing 31 counts ing taun 2011.
52,52,"Volume 1 is the Arabic text, Volume 2 penerjemahan ing basa Perancis. ","Volume 1 is the Arabic text, Volume 2 penerjemahan ke dalam bahasa Prancis. ","Jilid 1 minangka teks, volume 2 terjemahan ing Prancis."
53,53,Dhèwèké pernah njabat kepala Inspeksi Kebudayaan ing Sumatera. ,Dia pernah menjabat kepala Inspeksi Kebudayaan di Sumatera. ,Dheweke nindakake pemeriksaan budaya ing Sumatra.
54,54,Karyane kang paling wigati ya iku Trilogi Cinta(爱情的三部曲). ,Karyanya yang juga penting adalah Trilogi Cinta(爱情的三部曲). ,Karya sing paling penting yaiku trilogi katresnan (爱情 的 三三部).
55,55,Kanthi ulah raga dikarepaké para prajurit dadi tangkas dan sregep ing perang. ,Dengan berolahraga diharapkan para prajurit akan tangkas dan sigap dalam bertempur. ,Kanthi tahanan kasebut nyritakake prajurite ing tangane lan angel banget ing perang.
56,56,"Ingkang kapisanan inggih punika ""analisisipun babagan perilaku penabung rumah tangga"". ","Yang pertama adalah ""analisisnya pada perilaku penabung rumah tangga"". ","Sing pertama yaiku ""Malaikat Prilaku""."
57,57,Lagu punika dipunbektakaken déning Tommy Edwards lan dados hit angka 1 taun 1958! ,Lagu ini dibawakan oleh Tommy Edwards dan jadi hit nomor 1 tahun 1958! ,Lagu kasebut disetel dening Tommy Edwards lan dadi nomer 1 ing 1958!
58,58,EAT ngambakake aktivitasnya kanti ngleboni tahap kontrak karo DHL Worldwide Express taun 1985. ,EAT memperluas aktivitasnya dengan memasuki tahap kontrak dengan DHL Worldwide Express tahun 1985. ,Mangan nggambarake kegiatan kontrak ngombe kanthi DHL Worldwide Express ing taun 1985.
59,59,Ancient Civilizations - Inca Tempat panalitèn besar buat anak. ,Ancient Civilizations - Inca Tempat penelitian besar buat anak. ,Peradaban kuno - Inca riset sing apik meksa bocah-bocah.
60,60,Warnane putih lan transparan. ,Warnanya putih transparan. ,Putih lan transparan.
61,61,"Sauntara ing Provinsi Papua, dikenal istilah Peraturan Laladan Khusus lan Peraturan Laladan Provinsi. ","Sementara di Provinsi Papua, dikenal istilah Peraturan Daerah Khusus dan Peraturan Daerah Provinsi. ","Kangge ing wilayah Papua, sing dikenal minangka peraturan pangaturan lantoran regional lan peraturan regional."
62,62,(BBC) 5 - Gjorge Ivanov mimpang pemilu présidhèn ing Makedonia. ,(BBC) 5 - Gjorge Ivanov memenangi pemilu presiden di Makedonia. ,(BBC) 5 - Gjerge Ivanov kalebu Presiden Pemilihan Makedonia.
63,63,Piyambakipun tiyang warganagari Argentina. ,Ia adalah seorang warganegara Argentina. ,Dheweke warga warga Argentina.
64,64,"Nganti ing sajiwining dina, Pak Surya ketemu karo Sarah. ","Sampai suatu ketika, Pak Surya bertemu Sarah. ","Nganti dina esuk, Pak Soya nemoni Sarahe."
65,65,Magazen box ya iku magazen paling populer kanggo pistol lan senapan modern. ,Magazen box adalah magazen paling populer untuk pistol dan senapan modern. ,Kothak Magazen minangka majalah sing paling populer kanggo bedhil modern lan bedhil.
66,66,Pesawat punika dipunsertifikasi perdana taun 1994. ,Pesawat ini disertifikasi perdana tahun 1994. ,Pesawat kasebut minangka komersial utama ing taun 1994.
67,67,Israèl lan Arab sarujuk gencatan senjata. ,Israel dan Arab bersepakat melakukan gencatan senjata. ,Israel lan Arab idin.
68,68,Panjenenganipun miyos kanthi asma asli Joko Widodo. ,Apakah sifat-sifat manusia yang unik yang membedakannya dari makhluk-mahluk yang lain? ,Dheweke lair jeneng asli Joko Widodo.
69,69,"1995-Ingi Somalia, misi perdamaian PBB dipunpungkasi. ","1995 - Di Somalia, misi perdamaian PBB berakhir. ","1995-muga-muga Somalia, misi perdamaian sing ora digatekake."
70,70,"Kanthi tetulung mau kabèh mau, Count Dracula bisa dibasmi. ",Dengan bantuan mereka akhirnya Count Dracula dapat dibasmi. ,"Kanthi wabah, count Dracula bisa disinaoni."
71,71,Pasé ing Distrik Sirte. ,Tepatnya di Distrik Sirte. ,Disetujoni ing distrik sty.
72,72,"Déné piyambakipun ngolah bahan ingkang strategis kanggé kepentingan rakyat,"" ngendikanipun Endriartono. ","Sementara dia mengelola bahan yang sangat strategis untuk kepentingan rakyat,"" kata Endriartono. ","Nalika dheweke ngolah bahan strategis kanggo ngelawan, ""ujare Endriarto."
73,73,Euryarchaeota bisa urip ing lingkungan ekstrem. ,Euryarchaeota dapat hidup pada lingkungan ekstrem. ,Euryarchaeota bisa urip kanthi lingkungan sing ekstrem.
74,74,Koizumi ngundurke diri ana ing tanggat 26 September lan sakpungkasane digantiake Abe. ,Koizumi mengundurkan diri pada 26 September dan kemudian digantikan Abe. ,Koizumi bakal lunga menyang tanggal 26 September banjur ngganti Abe.
75,75,"Nalika taun 1999, Danau Sentarum dikukuhaké dadi taman nasional. ","Pada tahun 1999, Danau Sentarum ditetapkan sebagai taman nasional. ","Ing taun 1999, Lake Lake nggambarake taman nasional."
76,76,"Hasan tegesé ""gagah/handsome"" ing Basa Arab. ","Hasan berarti ""gagah/ handsome"" dalam Bahasa Arab. ","Hasan tegese ""Wani / Ganteng"" ing basa Arab."
77,77,"Ananging, industri permata Dubai menika nglampahi dampak saking Perang Donya I, lajeng Depresi Besar ing taun 1920-an. ","Tetapi, industri permata Dubai mengalami dampak dari Perang Dunia I, dan kemudian Depresi Besar tahun 1920-an. ","Nanging, industri Dubai Gem wis ngenteni pengaruh Perang Dunia I, banjur depresi sing gedhe ing taun 1920an."
78,78,"Ing 24 Maret, dèwèké nyétak rong gol nglawan Real Sociedad. ","Pada 24 Maret, ia mencetak dua gol atas Real Sociedad. ","Tanggal 24 Maret, dheweke nemokake rong gol nglawan Sociedad nyata."
79,79,"Tahun 1948, dhèwèké nglakokaké reorganisasi Persis kang ngalami kevakuman awit masa pendudukan Jepang lan Perang Kemerdekaan. ","Tahun 1948, ia melakukan reorganisasi Persis yang mengalami kevakuman sejak masa pendudukan Jepang dan Perang Kemerdekaan. ","Ing taun 1948, dheweke nambah ulang sing tepat nalika dheweke nggawe jinis omah Jepang lan ora ana."
80,80,"Maskapé iki ngoperasikaké jaringan penerbangan tumuju 50 destinasi ing 20 nagara, kalebu penerbangan jarak adoh tumuju Afrika Timur, Tengah, lan Barat. ","Maskapai ini mengoperasikan jaringan penerbangan menuju 50 destinasi di 20 negara, termasuk penerbangan jarak jauh menuju Afrika Timur, Tengah, dan Barat. ","Makaryakke jaringan penerbangan menyang 20 negara ing 20 negara, kalebu penerbangan dawa ing sisih wétan, tengah, lan Western Afrika."
81,81,100 Masjid Terindah Indonésia. ,100 Masjid Terindah Indonesia. ,100 Masjid Masjid Indonesia Tervie.
82,82,Maskapé iki wujud anggota European Low Fares Airline Association (ELFAA). ,Maskapai ini merupakan anggota European Low Fares Airline Association (ELFAA). ,Iki minangka anggota Eropa Association Eropa (Elfaa).
83,83,"""Kebudayaan Orang Tionghoa Di Indonésia"", Manusia Dan Kebudayaan Di Indonésia. ","""Kebudayaan Orang Tionghoa Di Indonesia"", Manusia Dan Kebudayaan Di Indonesia. ","""Budaya wong ing Indonesia, Man lan Cavy lan Cavy Timun."
84,84,"Ing taun 1970-an, Aznavour sukses ing Britania Raya. ","Pada tahun 1970-an, Aznavour sukses besar di Britania Raya. ","Ing taun 1970-an, Aznavour sukses ing Inggris."
85,85,Bapaké ya iku pengacara. ,Ayahnya adalah seorang pengacara. ,Yaiku pengacara bapake.
86,86,"Nganggo perawatan kang apik, kurang saka 1% mati. ","Dengan perawatan yang baik, kurang dari 1% meninggal. ","Gunakake perawatan sing apik, kurang saka 1%."
87,87,"Tanggal 17 September, panjupukan gambar ing Pasadena. ","Pada tanggal 17 September, pengambilan gambar di Pasadena. ","Tanggal 17 September, Gambar karo Gambar ing Pasadena."
88,88,Burger vegetarian kadang-kadang dadi panganan vegan. ,Burger vegetarian kadang-kadang adalah makanan vegan. ,Burger vegetarian kadang panganan vegan.
89,89,"Kelinci mangsuli, ""Oh, iku swara manuk Crek-crek saka Gunung Crek-crek ing kana."" ","Kelinci menjawab, ""Oh, itu suara burung Crek-crek dari Gunung Crek-crek yang ada di sebelah sana."" ","Wangsulan terwelu, ""Oh, iku crek-crek gunung crek-crek ing kana."""
90,90,"Pira-pira dhoktrin mbédakaké antarané penembak runduk (sniper) lan penembak jitu (marksman, sharpshooter, utawa designated marksman). ","Beberapa doktrin membedakan antara penembak runduk (sniper) dengan penembak jitu (marksman, sharpshooter, atau designated marksman). ","Pratement-kepiye piwulang sing ilang ing antarane sniper lan pimpinan penembak (Jitu penembak, penembak sing cetha, utawa penembak sing wis ditemtokake)."
91,91,Penambahan poin 75% ing turnamèn paling apik ing lumah suket 12 bulan sebelumnya. ,Penambahan poin 75% pada turnamen terbaik di permukaan rumput 12 bulan sebelumnya. ,75% poin ditambah karo turnamen paling apik ing 12 wulan sadurunge.
92,92,"Panjenenganipun dipunkenal minangka panganggit haiku paling ageng, inggih punika wangun puisi ing 5-7-5 suku kata. ","Ia dikenal sebagai pencipta haiku terbesar, yaitu bentuk puisi dalam 5-7-5 suku kata. ","Dheweke misuwur minangka hack paling gedhe ing donya, wujud puisi ing suku kata 5-7-5."
93,93,Nama asalipun Maanyan Paju Lima. ,Nama asalnya Maanyan Paju Lima. ,Jeneng kasebut teka ing Maanyan Jaji.
94,94,Nalika taun 2006 lagu iki uga digunakaké ana ing sapérangan episode ing serial TV Supernatural. ,Pada tahun 2006 lagu ini juga digunakan beberapa episode dalam serial TV Supernatural. ,Ing taun 2006 lagu kasebut uga digunakake ing pirang-pirang episode ing seri TV sing gaib.
95,95,"Kebanyakan lagu Shakur dipunsèrat nganggo kekèrasan ing ghetto, rasisme, prakawis sosial, lan kadang pertengkarannya kaliyan rapper sanès. ","Kebanyakan lagu Shakur ditulis mengenai kekerasan di ghetto, rasisme, masalah sosial, dan kadang pertengkarannya dengan rapper lain. ","Lagu Shakur yaiku Shakur dipangan ghetto, rasisme, sosial, lan kadhang istilah rap ora kasedhiya."
96,96,Iki wujud jinis kanker paling umum kang ditandhang kaum wanita. ,Ini adalah jenis kanker paling umum yang diderita kaum wanita. ,Iki minangka jinis kanker sing paling umum sing wanita umume.
97,97,"Karakter-karakter punika namung muncul ingkang sabetahake kemawon, limrahipun ing filem utawi serial House of Mouse. ","Karakter-karakter ini hanya muncul seperlunya saja, biasanya dalam film atau serial House of Mouse. ","Karakter iki mung katon ing bentuk panganan, crita film utawa seri mouse."
98,98,Ushaidi diciptakan ing pungkasan taun 2007 minangka respon saking huru hara saksampunè pemilu ingkang kèdadosan ing Kenya. ,Ushaidi diciptakan pada akhir tahun 2007 sebagai respon dari huru hara setelah pemilu yang terjadi di Kenya. ,Ushaidi digawe ing pungkasan taun 2007 kanggo nanggepi fokus Kenya.
99,99,Star Movies ya iku kang pertama pernah mbayar saluran ing India. ,Star Movies adalah yang pertama pernah membayar saluran di India. ,Film bintang minangka sing pertama mbayar saluran ing India.
100,100,1920-Hongaria kicalan 71% teritori lan 63% populasi nalika Traktat Trianon dipuntapakastani ing Paris. ,1920 - Hongaria kehilangan 71% teritori dan 63% populasi ketika Traktat Trianon ditandatangani di Paris. ,1920-Hungaria United 71% wilayah lan 63% pedunung nalika TRACTAR TRACTAR dianggep ing Paris.
101,101,Wonten ing ESO piyambakipun ningali perkembangan lan pembangunan Very Large Telescope. ,Di ESO ia meninjau perkembangan dan pembangunan Very Large Telescope. ,"Ing ESO, dheweke misale jek dadi pangembangan gedhe lan pangembangan teleskop."
102,102,"Panjenenganipun terus makarya dugi 2 taun salajengipun, liwat 3 operasi lan kemoterapi eksperimental lan remisi 10 wulan. ","Ia terus berkarya sampai 2 tahun berikutnya, melalui 3 operasi dan kemoterapi eksperimental dan remisi 10 bulan. ","Dheweke terus kerja sajrone 2 taun sabanjure, luwih saka 3 operasi lan kemoterapi 10 -monten 10 -monten lan Remenisi."
103,103,Iridium 33 iku satelit komunikasi Iridium Amérika Sarékat. ,Iridium 33 adalah satelit komunikasi Iridium Amerika Serikat. ,Iridium 33 minangka satelit saka Iridium United Komunikasi.
104,104,"(Geolog Inggris John Michell kanthi kapisah ugi manggihaken timbangan puntir ing taun 1750, nanging piyambakipun gagal migunakaken kanggé ngukur medan daya tarik bumi). ","(Geolog Inggris John Michell secara terpisah juga menemukan timbangan puntir pada tahun 1750, tetapi ia gagal menggunakannya untuk mengukur medan daya tarik bumi). ","(Geologi Geologi John John Michell nemokake skala 1750, nanging gagal nggunakake daya Bumi)."
105,105,Ing taun kapitu kudu diluwari tanpa mbayar tebusan apa-apa. ,Talak yang terjadi tanpa tebusan. ,Ing taun kaping pitu kudu dikirim tanpa mbayar tebusan.
106,106,Markas Liga Arab mapan ana ing Kairo. ,Markas Liga Arab berada di Kairo. ,Markas Liga Arab dumunung ing Kairo.
107,107,Nalika taun 2002 panjenengané nentang aksi militèr 'sepihak' déning Amérika Sarékat ing Irak. ,Pada tahun 2002 ia berpendirian menentang aksi militer 'sepihak' oleh Amerika Serikat terhadap Irak. ,"Ing taun 2002, dheweke nentang tumindak militer 'Sephak' dening Amerika Serikat ing Irak."
108,108,"Ing audhisi mau, namung 11 tiyang ingkang dipuntampi saking 2.396 tiyang pelamar. ","Dalam audisi tersebut, hanya 11 orang yang diterima dari 2.396 orang pelamar. ","Ing audisi, mung 11 wong ditampa saka 2.396 pelamar."
109,109,"Timur 2, 3 Timur, lan Barat 1-Barat 3 kabèh nglayani penerbangan domestik. ","Timur 2, 3 Timur, dan Barat 1-Barat 3 semua melayani penerbangan domestik. ","Wétan 2, 3 East, lan West 1-Kulon 3 Kabeh sing ngladeni penerbangan domestik."
110,110,"Rudal punika ugi gadhah kemampuan nyergap sasaranipun saking sedaya arah (all-aspect), ing sedaya cuaca (all-weather) sarta ing tèngah pengacauan elektronis (jamming). ","Rudal ini juga memiliki kemampuan menyergap sasarannya dari segala arah (all-aspect), dalam segala cuaca (all-weather) serta di tengah pengacauan elektronis (jamming). ","Misi iki uga nawakake rawuh kabeh arah (kabeh aspek), ing kabeh cuaca (kabeh cuaca) lan elektron (jamming)."
111,111,ABC wiwit disiaraké ing TV nalika taun 1948. ,ABC mulai disiarkan di TV pada tahun 1948. ,ABC sepisanan disiapake ing TV ing taun 1948.
112,112,Karni aktif ing akèh organisasi wartawan. ,Karni aktif di berbagai organisasi wartawan. ,Carination aktif ing pirang-pirang organisasi wartawan.
113,113,Lajeng ayahipun mengajaknya mlebet ing tim gadahanipun pribadi ingkang turun ing ajang Formula Three Euroseries lan F3 lokal Éropah. ,Kemudian ayahnya mengajaknya masuk ke tim milik pribadi yang turun di ajang Formula Three Euroseries dan F3 lokal Eropa. ,Banjur bagean pribadi saka telung Éropah lan F3 Eropa Eropa.
114,114,Tetandhingan pungkasane ana ing Seri A ya iku nalika klawan Inter Milan tanggal 4 April 2004. ,Pertandingan terakhirnya di Serie A adalah ketika melawan Inter Milan pada 4 April 2004. ,Pertandhingan pungkasan yaiku ing seri YO A Inter Milan tanggal 4 April 2004.
115,115,Limpakuwus kabupatèn Banyumas Jawa tengah. ,Limpakuwus kabupaten Banyumas Jawa tengah. ,LimaKuwus Banyumas Jawa Tengah.
116,116,Katalog Film Indonésia 1926-2007. ,Katalog Film Indonesia 1926– 2007. ,Katalog Moval Indonesia 1926-2007.
