,id,text,label,ind
13,13,Tuladha: sepira dhuwur mu?. ,"Katanya: ""Tetapi kejahatan apakah yang telah dilakukan-Nya?"" ","Dia berkata: ""Tapi kejahatan apa yang dia lakukan?"""
14,14,Ngudhunaké tekanan darah. ,Menjaga tekanan darah. ,Mempertahankan tekanan darah.
15,15,Punika ngakomodasi tradisi panjang saking aturan badan kolektif ing Swiss. ,Ini mengakomodasi tradisi panjang dari aturan badan kolektif di Swiss. ,Ini mengakomodasi tradisi lama peraturan agen kolektif di Swiss.
16,16,Surah Al-Lahab utawa Al-Masad iku surat angka 111 sajeroning Al-Qur'an. ,Surah Al-Lahab atau Al-Massad adalah surat ke-111 dalam Al-Qur'an. ,Surah al-Lahab atau Al-Massad adalah surat 1111 dalam Al-Qur'an.
17,17,"Miturut anggapan Persatuan Opera Amérika, Rigoletto inggih punika opera ke-9 ingkang paling asring dipunmainakèn ing Amérika Utara. ","Menurut anggapan Persatuan Opera Amerika, Rigoletto adalah opera ke-9 yang paling sering dimainkan di Amerika Utara. ","Menurut American Union of Opera, Rigoletto adalah yang ke -9 yang paling umum dimainkan di Amerika Utara."
18,18,"Bai = inggih Ez = boten Kaixo!, Agur! = Hallo Agur!, Adio! = Sugeng pepanggihan! ","Bai = Ya Ez = Tidak Kaixo!, Agur! = Hallo Agur!, Adio! = Selamat tinggal! ","Bai = ya ez = tidak kaixo!, Penuaan! = Halo agur!, Adio! = Selamat tinggal!"
19,19,Présidhèn Indonésia (1974). ,Presiden Indonesia (1974). ,Presiden Indonesia (1974).
20,20,Dina Abasa Bali adaté lumaku mligi ing tataran pamulangan. ,"Maka sudah sepatutnyalah sebelum engkau bertindak, datanglah kepada dia terlebih dahulu. ","Kemudian cocok sebelum Anda bertindak, datanglah dulu."
21,21,ASP.NET bisa minangka ngekspos fungsi bisnis ing partner lumantar protokol Web standar. ,ASP.NET dapat digunakan untuk mengekspos fungsi bisnis ke partner melalui protokol Web standar. ,ASP.NET dapat digunakan untuk mengekspos fungsi bisnis kepada mitra melalui protokol web standar.
22,22,Pamarèntahanipun dipunandhapaken rakyat wonten ing revolusi people power (kekiyatan rakyat) ingkang dipunkenal kanthi nama Revolusi EDSA II. ,Pemerintahannya dijatuhkan rakyat dalam revolusi people power (kekuatan rakyat) yang dikenal dengan nama Revolusi EDSA II. ,Pemerintahnya diungkapkan oleh rakyat dalam revolusi kekuatan rakyat (kekuatan rakyat) yang dikenal sebagai Revolusi EDSA II.
23,23,Potter asring nggatosakèn kéwan-kéwan punika selama berjam-jam lan ndamèl sketsa mereka. ,Potter sering memperhatikan hewan-hewan ini selama berjam-jam dan membuat sketsa mereka. ,Potter sering memperhatikan hewan -hewan ini selama berjam -jam dan menggambarnya.
24,24,"Nelson Mandela, Présidhèn Afrika Selatan. ","Nelson Mandela, Presiden Afrika Selatan. ","Nelson Mandela, Presiden Afrika Selatan."
25,25,Bukunipun Sastra dan Religiositas mimpanganken bebingah buku non-fiksi paling saé taun 1982. ,Buku Sastra dan Religiositas yang ditulisnya mendapat penghargaan buku non-fiksi terbaik tahun 1982. ,Buku sastra dan agama yang ditulisnya menerima penghargaan buku non -fiksi terbaik pada tahun 1982.
26,26,"Lumantar Mantri Luar Negeri Alwi Shihab, Présidhèn gagal nyegah perkawis punika dhateng pulisi. ","Lewat Menteri Luar Negeri Alwi Shihab, Presiden gagal menghentikan persoalan ini di polisi. ","Melalui Menteri Luar Negeri Alwi Shihab, presiden gagal menghentikan masalah di polisi."
27,27,"Minangka Go-on Red, seranganipun inggih punika serangan kecepatan tinggi lan partnernya inggih punika Speedor. ","Sebagai Go-on Red, serangannya adalah serangan kecepatan tinggi dan partnernya adalah Speedor. ","Sebagai merah, serangan itu adalah serangan berkecepatan tinggi dan pasangan adalah Speedor."
28,28,"Jumlah subunit bisa bervariasi malah ing sèl kang padha contohe ing Salmonella kang jumlah subunita antara 3, 4, utawa 5. ","Jumlah subunit dapat bervariasi bahkan pada sel yang sama contohnya pada Salmonella yang jumlah subunitnya antara 3, 4, atau 5 . ","Jumlah subunit dapat bervariasi bahkan dalam sel yang sama seperti Salmonella yang merupakan subunit antara 3, 4, atau 5."
29,29,"Nalika ing Jakarta, Robby kenalan banjur dadi ""murid"" Prajudi. ","Di Jakarta, Robby sempat berkenalan dan menjadi ""murid"" Prajudi. ","Di Jakarta, Robby bertemu dan menjadi ""mahasiswa"" Prajudi."
30,30,Indonésia (perairan Indo-Pasifik). ,Indonesia (perairan Indo-Pasifik). ,Indonesia (air Indo-Pasifik).
31,31,"Persatuan Wartawan Indonésia, Anggota Muda, Taun 1980. ","Persatuan Wartawan Indonesia, Anggota Muda, Tahun 1980. ","Asosiasi Jurnalis Indonesia, Anggota Young, 1980."
32,32,"Dibuka taun 2003, kanthi kapasitas 18.000 kursi. ","Dibuka pada tahun 2003, dengan 18.000 tempat duduk. ","Dibuka pada tahun 2003, dengan 18.000 kursi."
33,33,"Lagu ""She"" dadi puncak tangga lagu Britania. ","Lagu ""She"" menduduki puncak tangga lagu Britania. ","Lagu ""Dia"" adalah yang teratas dari grafik Inggris."
34,34,"Sawijining jalur kaping kalih, Jalur B, kanthi arah timurlaut dhateng baratdaya, dipunjadwalaken dipunbikak taun 2015. ","Sebuah jalur kedua, Jalur B, dengan arah timurlaut ke baratdaya, dijadwalkan pembukaannya pada 2015. ","Rute kedua, Jalan B, di timur laut ke barat daya, dijadwalkan dibuka pada tahun 2015."
35,35,Kapasitas seri 705 ya iku 75 penumpang. ,Kapasitas seri 705 adalah 75 penumpang. ,Kapasitas seri 705 adalah 75 penumpang.
36,36,Status kelangkaan buah iki dianalisis nganggo kategori lan kriteria tumbuhan langka miturut IUCN Red List Categories 30 November 1994.. ,Status kelangkaan buah ini dianalisis dengan menggunakan kategori dan kriteria tumbuhan langka menurut IUCN Red List Categories 30 November 1994. ,Status kekurangan buah ini dianalisis menggunakan kategori dan kriteria untuk tanaman yang jarang terjadi dengan kategori daftar merah IUCN 30 November 1994.
37,37,Saben makluk bakal mati lan ing akhirat bakal dihisab ngenani amalan-amalané. ,Untuk mengetahui rahasia kehidupan sejati di dunia ini sehingga dapat terbebaskan dari kesengsaraan dunia dan akhirat . ,Untuk mengetahui rahasia kehidupan nyata di dunia ini sehingga dapat bebas dari kesengsaraan dunia dan akhirat.
38,38,"Perusahaan Dodge bersaudara tiba ing asta istri-istri punika, ingkang lajeng ngangkat Frederick Haynes dados présidhèn perusahaan mau. ","Perusahaan Dodge bersaudara jatuh ke tangan istri-istri mereka, yang lalu mengangkat Frederick Haynes menjadi presiden perusahaan tersebut. ","Saudara -saudara Dodge jatuh ke tangan istri mereka, yang kemudian menunjuk Frederick Haynes untuk menjadi presiden perusahaan."
39,39,Indonésia (Pasifik Barat). ,Indonesia (Pasifik Barat). ,Indonesia (Pasifik Barat).
40,40,"Tiga taun lajeng, Jockie bergabung malih kaliyan God Bless. ","Tiga tahun kemudian, Jockie bergabung lagi dengan God Bless. ","Tiga tahun kemudian, Jockie bergabung dengan Tuhan Bless."
41,41,"Para penentang iki ngeklaim yèn biaya ékonomi kang diperlokaké kanggo melaksanakan Protokol Kyoto bisa ngancik 300 milyar dollar AS, mligi disebabkan déning biaya ènergi. ","Para penentang ini mengklaim bahwa biaya ekonomi yang diperlukan untuk melaksanakan Protokol Kyoto dapat menjapai 300 miliar dollar AS, terutama disebabkan oleh biaya energi. ","Lawan -lawan ini mengklaim bahwa biaya ekonomi yang diperlukan untuk menjalankan protokol Kyoto dapat mencapai 300 miliar dolar AS, terutama karena biaya energi."
42,42,CRJ100 CRJ100 ya iku versi asli 50 kursi. ,CRJ100 CRJ100 adalah versi asli 50 kursi. ,CRJ100 CRJ100 adalah versi asli 50 kursi.
43,43,Federasi Ilmuwan Amérika. ,Federasi Ilmuwan Amerika. ,Federasi Ilmuwan Amerika.
44,44,"Yèn dideleng saka cara tindakane, eutanasia bisa dibagi dadi telung kategori, ya iku eutanasia agresif, eutanasia non agresif, lan eutanasia pasif. ","Bila ditinjau dari cara pelaksanaannya, eutanasia dapat dibagi menjadi tiga kategori, yaitu eutanasia agresif, eutanasia non agresif, dan eutanasia pasif. ","Jika dilihat dari cara diterapkan, eutanasia dapat dibagi menjadi tiga kategori, yaitu eutanasia agresif, eutanasia non -agresif, dan eutanasia pasif."
45,45,Allah wis ndokok aku ing Indonésia. ,Tuhan yang menaruh saya di Indonesia. ,Tuhan menempatkan saya di Indonesia.
46,46,"Pungkasanipun, taun 1964, piyambakipun dipunangkat minangka Anggota Asing Royal Society ing London. ","Akhirnya, pada 1964, ia diangkat sebagai Anggota Asing Royal Society di London. ","Akhirnya, pada tahun 1964, ia diangkat menjadi orang asing Royal Society di London."
47,47,Apa Siapa Orang Film Indonésia. ,Apa Siapa Orang Film Indonesia. ,Apa itu film Indonesia.
48,48,"Train à Grande Vitesse (dicekak TGV) iku sepur rikat Prancis (basa Prancis: train à grande vitesse, kang tegesé sepur rikat). ","Train à Grande Vitesse (disingkat TGV) adalah Kereta kecepatan tinggi yang berasal dari Prancis. (bahasa Prancis: train à grande vitesse, berarti ""kereta berkecepatan tinggi""). ","Train à Grande Vitese (disingkat TGV) adalah kereta api tinggi dari Prancis. (Prancis: kereta à grande vitese, yang berarti ""kereta tinggi"")."
49,49,Psikopat duweni 20 ciri umum. ,Psikopat memiliki 20 ciri-ciri umum. ,Psikopat memiliki 20 fitur umum.
50,50,Padahal saat itu prajurit Acèh wis dipukul mundur olèh Portugis. ,Padahal saat itu pasukan Aceh sudah dipukul mundur oleh Portugis. ,Meskipun pada waktu itu tentara Aceh dilanggar oleh orang Portugis.
51,51,"647,5 Milyar posisi 31 Dhésèmber 2011. ","647,5 Milyar posisi 31 Desember 2011. ","647,5 miliar pada 31 Desember 2011."
52,52,"Volume 1 is the Arabic text, Volume 2 penerjemahan ing basa Perancis. ","Volume 1 is the Arabic text, Volume 2 penerjemahan ke dalam bahasa Prancis. ","Volume 1 adalah teks Arab, volume 2 terjemahan ke dalam bahasa Prancis."
53,53,Dhèwèké pernah njabat kepala Inspeksi Kebudayaan ing Sumatera. ,Dia pernah menjabat kepala Inspeksi Kebudayaan di Sumatera. ,Dia menjabat sebagai kepala budaya di Sumatra.
54,54,Karyane kang paling wigati ya iku Trilogi Cinta(爱情的三部曲). ,Karyanya yang juga penting adalah Trilogi Cinta(爱情的三部曲). ,Karya penting adalah trilogi cinta (爱情 的 三 部 曲).
55,55,Kanthi ulah raga dikarepaké para prajurit dadi tangkas dan sregep ing perang. ,Dengan berolahraga diharapkan para prajurit akan tangkas dan sigap dalam bertempur. ,"Dengan berolahraga, diharapkan bahwa tentara akan gesit dan terjaga dalam pertempuran."
56,56,"Ingkang kapisanan inggih punika ""analisisipun babagan perilaku penabung rumah tangga"". ","Yang pertama adalah ""analisisnya pada perilaku penabung rumah tangga"". ","Yang pertama adalah ""analisis perilaku house -have""."
57,57,Lagu punika dipunbektakaken déning Tommy Edwards lan dados hit angka 1 taun 1958! ,Lagu ini dibawakan oleh Tommy Edwards dan jadi hit nomor 1 tahun 1958! ,Lagu ini dinyanyikan oleh Tommy Edwards dan hit nomor 1 tahun 1958!
58,58,EAT ngambakake aktivitasnya kanti ngleboni tahap kontrak karo DHL Worldwide Express taun 1985. ,EAT memperluas aktivitasnya dengan memasuki tahap kontrak dengan DHL Worldwide Express tahun 1985. ,Makan memperluas kegiatannya dengan memasuki tahap kontrak dengan DHL Worldwide Express pada tahun 1985.
59,59,Ancient Civilizations - Inca Tempat panalitèn besar buat anak. ,Ancient Civilizations - Inca Tempat penelitian besar buat anak. ,Peradaban Kuno - Situs penelitian yang bagus untuk anak -anak.
60,60,Warnane putih lan transparan. ,Warnanya putih transparan. ,Warnanya putih transparan.
61,61,"Sauntara ing Provinsi Papua, dikenal istilah Peraturan Laladan Khusus lan Peraturan Laladan Provinsi. ","Sementara di Provinsi Papua, dikenal istilah Peraturan Daerah Khusus dan Peraturan Daerah Provinsi. ","Sementara di wilayah Papua, ketentuan peraturan regional dan peraturan regional diketahui."
62,62,(BBC) 5 - Gjorge Ivanov mimpang pemilu présidhèn ing Makedonia. ,(BBC) 5 - Gjorge Ivanov memenangi pemilu presiden di Makedonia. ,(BBC) 5 - Gjorge Ivanov memenangkan pemilihan presiden di Makedonia.
63,63,Piyambakipun tiyang warganagari Argentina. ,Ia adalah seorang warganegara Argentina. ,Dia adalah warga negara Argentina.
64,64,"Nganti ing sajiwining dina, Pak Surya ketemu karo Sarah. ","Sampai suatu ketika, Pak Surya bertemu Sarah. ","Sampai suatu hari, Mr. Surya bertemu Sarah."
65,65,Magazen box ya iku magazen paling populer kanggo pistol lan senapan modern. ,Magazen box adalah magazen paling populer untuk pistol dan senapan modern. ,__ERROR__
66,66,Pesawat punika dipunsertifikasi perdana taun 1994. ,Pesawat ini disertifikasi perdana tahun 1994. ,Pesawat ini pertama kali dikonfirmasi pada tahun 1994.
67,67,Israèl lan Arab sarujuk gencatan senjata. ,Israel dan Arab bersepakat melakukan gencatan senjata. ,Israel dan orang -orang Arab telah setuju untuk menjalankan gencatan senjata.
68,68,Panjenenganipun miyos kanthi asma asli Joko Widodo. ,Apakah sifat-sifat manusia yang unik yang membedakannya dari makhluk-mahluk yang lain? ,Apa kualitas manusia yang unik yang membedakannya dari makhluk lain?
69,69,"1995-Ingi Somalia, misi perdamaian PBB dipunpungkasi. ","1995 - Di Somalia, misi perdamaian PBB berakhir. ","1995 - Di Somalia, misi perdamaian PBB berakhir."
70,70,"Kanthi tetulung mau kabèh mau, Count Dracula bisa dibasmi. ",Dengan bantuan mereka akhirnya Count Dracula dapat dibasmi. ,"Dengan bantuan mereka, mereka akhirnya berpikir Dracula dapat diberantas."
71,71,Pasé ing Distrik Sirte. ,Tepatnya di Distrik Sirte. ,Tepat di distrik Sirtre.
72,72,"Déné piyambakipun ngolah bahan ingkang strategis kanggé kepentingan rakyat,"" ngendikanipun Endriartono. ","Sementara dia mengelola bahan yang sangat strategis untuk kepentingan rakyat,"" kata Endriartono. ","Meskipun ia mengelola materi yang sangat strategis untuk kepentingan rakyat, ""kata Endriartono."
73,73,Euryarchaeota bisa urip ing lingkungan ekstrem. ,Euryarchaeota dapat hidup pada lingkungan ekstrem. ,Euryachaeota dapat hidup di lingkungan yang ekstrem.
74,74,Koizumi ngundurke diri ana ing tanggat 26 September lan sakpungkasane digantiake Abe. ,Koizumi mengundurkan diri pada 26 September dan kemudian digantikan Abe. ,Koizumi mengundurkan diri pada 26 September dan kemudian digantikan oleh Abe.
75,75,"Nalika taun 1999, Danau Sentarum dikukuhaké dadi taman nasional. ","Pada tahun 1999, Danau Sentarum ditetapkan sebagai taman nasional. ","Pada tahun 1999, Danau Sentarum ditetapkan sebagai Taman Nasional."
76,76,"Hasan tegesé ""gagah/handsome"" ing Basa Arab. ","Hasan berarti ""gagah/ handsome"" dalam Bahasa Arab. ","Hasan berarti ""tampan/ tampan"" dalam bahasa Arab."
77,77,"Ananging, industri permata Dubai menika nglampahi dampak saking Perang Donya I, lajeng Depresi Besar ing taun 1920-an. ","Tetapi, industri permata Dubai mengalami dampak dari Perang Dunia I, dan kemudian Depresi Besar tahun 1920-an. ","Namun, industri Permata Dubai mengalami efek Perang Dunia I, dan kemudian depresi besar pada tahun 1920 -an."
78,78,"Ing 24 Maret, dèwèké nyétak rong gol nglawan Real Sociedad. ","Pada 24 Maret, ia mencetak dua gol atas Real Sociedad. ","Pada 24 Maret, ia mencetak dua gol di Real Sociedad."
79,79,"Tahun 1948, dhèwèké nglakokaké reorganisasi Persis kang ngalami kevakuman awit masa pendudukan Jepang lan Perang Kemerdekaan. ","Tahun 1948, ia melakukan reorganisasi Persis yang mengalami kevakuman sejak masa pendudukan Jepang dan Perang Kemerdekaan. ","Pada tahun 1948, ia melakukan restrukturisasi kekosongan sejak pendudukan Jepang dan Perang Kemerdekaan."
80,80,"Maskapé iki ngoperasikaké jaringan penerbangan tumuju 50 destinasi ing 20 nagara, kalebu penerbangan jarak adoh tumuju Afrika Timur, Tengah, lan Barat. ","Maskapai ini mengoperasikan jaringan penerbangan menuju 50 destinasi di 20 negara, termasuk penerbangan jarak jauh menuju Afrika Timur, Tengah, dan Barat. ","Maskapai ini mengoperasikan jaringan penerbangan ke 50 tujuan di 20 negara, termasuk penerbangan Afrika yang panjang, tengah dan barat."
81,81,100 Masjid Terindah Indonésia. ,100 Masjid Terindah Indonesia. ,100 masjid Indonesia terindah.
82,82,Maskapé iki wujud anggota European Low Fares Airline Association (ELFAA). ,Maskapai ini merupakan anggota European Low Fares Airline Association (ELFAA). ,Maskapai ini adalah anggota Asosiasi Maskapai Low Airlines Eropa (ELFAA).
83,83,"""Kebudayaan Orang Tionghoa Di Indonésia"", Manusia Dan Kebudayaan Di Indonésia. ","""Kebudayaan Orang Tionghoa Di Indonesia"", Manusia Dan Kebudayaan Di Indonesia. ","""Budaya Tiongkok di Indonesia"", manusia dan budaya di Indonesia."
84,84,"Ing taun 1970-an, Aznavour sukses ing Britania Raya. ","Pada tahun 1970-an, Aznavour sukses besar di Britania Raya. ","Pada tahun 1970 -an, Aznavour sukses besar di Inggris."
85,85,Bapaké ya iku pengacara. ,Ayahnya adalah seorang pengacara. ,Ayahnya adalah seorang pengacara.
86,86,"Nganggo perawatan kang apik, kurang saka 1% mati. ","Dengan perawatan yang baik, kurang dari 1% meninggal. ","Hati -hati, kurang dari 1% meninggal."
87,87,"Tanggal 17 September, panjupukan gambar ing Pasadena. ","Pada tanggal 17 September, pengambilan gambar di Pasadena. ","Pada 17 September, menembak di Pasadena."
88,88,Burger vegetarian kadang-kadang dadi panganan vegan. ,Burger vegetarian kadang-kadang adalah makanan vegan. ,Burger vegetarian terkadang makanan vegan.
89,89,"Kelinci mangsuli, ""Oh, iku swara manuk Crek-crek saka Gunung Crek-crek ing kana."" ","Kelinci menjawab, ""Oh, itu suara burung Crek-crek dari Gunung Crek-crek yang ada di sebelah sana."" ","Kelinci itu menjawab, ""Oh, itulah suara burung Crek-Crek dari gunung Crek-Crek di sana."""
90,90,"Pira-pira dhoktrin mbédakaké antarané penembak runduk (sniper) lan penembak jitu (marksman, sharpshooter, utawa designated marksman). ","Beberapa doktrin membedakan antara penembak runduk (sniper) dengan penembak jitu (marksman, sharpshooter, atau designated marksman). ","Beberapa doktrin membedakan antara penembak jitu (penembak jitu) dan penembak jitu (penembak jitist, penembak tajam, atau penembak yang ditunjuk)."
91,91,Penambahan poin 75% ing turnamèn paling apik ing lumah suket 12 bulan sebelumnya. ,Penambahan poin 75% pada turnamen terbaik di permukaan rumput 12 bulan sebelumnya. ,Penambahan 75% poin di turnamen terbaik di permukaan rumput 12 bulan sebelumnya.
92,92,"Panjenenganipun dipunkenal minangka panganggit haiku paling ageng, inggih punika wangun puisi ing 5-7-5 suku kata. ","Ia dikenal sebagai pencipta haiku terbesar, yaitu bentuk puisi dalam 5-7-5 suku kata. ","Ia dikenal sebagai pencipta haiku terbesar, yang merupakan bentuk puisi dalam suku kata 5-7-5."
93,93,Nama asalipun Maanyan Paju Lima. ,Nama asalnya Maanyan Paju Lima. ,Nama aslinya adalah Maanyan Paju Five.
94,94,Nalika taun 2006 lagu iki uga digunakaké ana ing sapérangan episode ing serial TV Supernatural. ,Pada tahun 2006 lagu ini juga digunakan beberapa episode dalam serial TV Supernatural. ,Pada tahun 2006 lagu ini juga digunakan oleh beberapa episode dalam serial TV supernatural.
95,95,"Kebanyakan lagu Shakur dipunsèrat nganggo kekèrasan ing ghetto, rasisme, prakawis sosial, lan kadang pertengkarannya kaliyan rapper sanès. ","Kebanyakan lagu Shakur ditulis mengenai kekerasan di ghetto, rasisme, masalah sosial, dan kadang pertengkarannya dengan rapper lain. ","Sebagian besar lagu Shakur ditulis tentang kekerasan di ghetto, rasisme, masalah sosial, dan kadang -kadang berkelahi dengan rapper lain."
96,96,Iki wujud jinis kanker paling umum kang ditandhang kaum wanita. ,Ini adalah jenis kanker paling umum yang diderita kaum wanita. ,Ini adalah jenis kanker paling umum yang dialami wanita.
97,97,"Karakter-karakter punika namung muncul ingkang sabetahake kemawon, limrahipun ing filem utawi serial House of Mouse. ","Karakter-karakter ini hanya muncul seperlunya saja, biasanya dalam film atau serial House of Mouse. ","Karakter -karakter ini hanya muncul sesuai kebutuhan, biasanya di film atau seri House of Mouse."
98,98,Ushaidi diciptakan ing pungkasan taun 2007 minangka respon saking huru hara saksampunè pemilu ingkang kèdadosan ing Kenya. ,Ushaidi diciptakan pada akhir tahun 2007 sebagai respon dari huru hara setelah pemilu yang terjadi di Kenya. ,Ushaidi diciptakan pada akhir 2007 sebagai tanggapan terhadap pemilihan setelah -Kenya.
99,99,Star Movies ya iku kang pertama pernah mbayar saluran ing India. ,Star Movies adalah yang pertama pernah membayar saluran di India. ,Film Star adalah yang pertama membayar saluran di India.
100,100,1920-Hongaria kicalan 71% teritori lan 63% populasi nalika Traktat Trianon dipuntapakastani ing Paris. ,1920 - Hongaria kehilangan 71% teritori dan 63% populasi ketika Traktat Trianon ditandatangani di Paris. ,1920 - Hongaria kehilangan 71% dari wilayah dan 63% dari populasi ketika perjanjian Trianon ditandatangani di Paris.
101,101,Wonten ing ESO piyambakipun ningali perkembangan lan pembangunan Very Large Telescope. ,Di ESO ia meninjau perkembangan dan pembangunan Very Large Telescope. ,"Di ESO, ia meninjau pengembangan dan pengembangan teleskop."
102,102,"Panjenenganipun terus makarya dugi 2 taun salajengipun, liwat 3 operasi lan kemoterapi eksperimental lan remisi 10 wulan. ","Ia terus berkarya sampai 2 tahun berikutnya, melalui 3 operasi dan kemoterapi eksperimental dan remisi 10 bulan. ","Dia terus bekerja selama 2 tahun ke depan, melalui 3 operasi eksperimental dan kemoterapi dan 10 bulan pengampunan."
103,103,Iridium 33 iku satelit komunikasi Iridium Amérika Sarékat. ,Iridium 33 adalah satelit komunikasi Iridium Amerika Serikat. ,Iridium 33 adalah satelit komunikasi Iridium di Amerika Serikat.
104,104,"(Geolog Inggris John Michell kanthi kapisah ugi manggihaken timbangan puntir ing taun 1750, nanging piyambakipun gagal migunakaken kanggé ngukur medan daya tarik bumi). ","(Geolog Inggris John Michell secara terpisah juga menemukan timbangan puntir pada tahun 1750, tetapi ia gagal menggunakannya untuk mengukur medan daya tarik bumi). ","(Ahli geologi Inggris John Michell secara terpisah juga menemukan skala berputar pada 1750, tetapi ia gagal menggunakannya untuk mengukur bidang daya tarik)."
105,105,Ing taun kapitu kudu diluwari tanpa mbayar tebusan apa-apa. ,Talak yang terjadi tanpa tebusan. ,Perceraian yang terjadi tanpa sandera.
106,106,Markas Liga Arab mapan ana ing Kairo. ,Markas Liga Arab berada di Kairo. ,Kantor pusat Liga Arab berada di Kairo.
107,107,Nalika taun 2002 panjenengané nentang aksi militèr 'sepihak' déning Amérika Sarékat ing Irak. ,Pada tahun 2002 ia berpendirian menentang aksi militer 'sepihak' oleh Amerika Serikat terhadap Irak. ,"Pada tahun 2002, ia memegang pendapat tentang tindakan militer 'unilateral' oleh Amerika Serikat terhadap Irak."
108,108,"Ing audhisi mau, namung 11 tiyang ingkang dipuntampi saking 2.396 tiyang pelamar. ","Dalam audisi tersebut, hanya 11 orang yang diterima dari 2.396 orang pelamar. ","Dalam audisi, hanya 11 orang yang diterima dari 2.396 pelamar."
109,109,"Timur 2, 3 Timur, lan Barat 1-Barat 3 kabèh nglayani penerbangan domestik. ","Timur 2, 3 Timur, dan Barat 1-Barat 3 semua melayani penerbangan domestik. ","Timur 2, 3 Timur, dan Barat 1-Barat 3 semuanya melayani penerbangan domestik."
110,110,"Rudal punika ugi gadhah kemampuan nyergap sasaranipun saking sedaya arah (all-aspect), ing sedaya cuaca (all-weather) sarta ing tèngah pengacauan elektronis (jamming). ","Rudal ini juga memiliki kemampuan menyergap sasarannya dari segala arah (all-aspect), dalam segala cuaca (all-weather) serta di tengah pengacauan elektronis (jamming). ","Rudal ini juga memiliki kemampuan untuk menyerang targetnya di segala arah (semua aspek), dalam segala cuaca (sepanjang minggu) dan di tengah kekacauan elektronik (jamming)."
111,111,ABC wiwit disiaraké ing TV nalika taun 1948. ,ABC mulai disiarkan di TV pada tahun 1948. ,ABC pertama kali ditayangkan di TV pada tahun 1948.
112,112,Karni aktif ing akèh organisasi wartawan. ,Karni aktif di berbagai organisasi wartawan. ,Karni aktif di berbagai organisasi jurnalis.
